	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
10	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.950886	0.899628	0.844103	0.782526	0.714787	0.646792	0.601487	0.629892	0.680388	0.729402	0.770352	0.802586	0.827001	0.844671	0.856469	0.863012	0.864670	0.861577	0.853644	0.840542	0.821687	0.796222	0.763078	0.721319	0.671484	0.619832	0.589079	0.629133	0.690048	0.749051	0.799788	0.841568	0.875112	0.901225	0.920482	0.933221	0.939572	0.939409	0.932476	0.918362	0.896580	0.866428	0.827109	0.778082	0.720448	0.661593	0.627015	0.672179	0.742639	0.813999	0.880130	0.941390	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
11	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.944499	0.885859	0.820397	0.743247	0.647923	0.529293	0.410292	0.510389	0.609449	0.683840	0.737935	0.777354	0.805941	0.826108	0.839359	0.846608	0.848363	0.844805	0.835819	0.820960	0.799367	0.769586	0.729245	0.674555	0.599955	0.501053	0.400617	0.512335	0.622514	0.708349	0.774148	0.825296	0.865306	0.896166	0.918913	0.934087	0.941951	0.942207	0.934533	0.918241	0.892724	0.856607	0.807814	0.742869	0.656331	0.543948	0.431318	0.554311	0.678147	0.778445	0.860926	0.932865	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
12	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.941252	0.878911	0.808380	0.722141	0.604367	0.412164	0.000000	0.391922	0.563181	0.658573	0.720193	0.762956	0.793298	0.814463	0.828251	0.835699	0.837367	0.833462	0.823868	0.808112	0.785236	0.753508	0.709763	0.647699	0.552730	0.383808	0.000000	0.397078	0.579323	0.687684	0.763159	0.820163	0.864649	0.899221	0.924918	0.942261	0.951939	0.952936	0.945208	0.927345	0.899465	0.859465	0.804669	0.729250	0.618060	0.426550	0.000000	0.435599	0.637193	0.760708	0.852264	0.929144	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
13	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.941599	0.880152	0.812070	0.732570	0.635239	0.514995	0.394800	0.494118	0.592778	0.667079	0.721307	0.760979	0.789834	0.810193	0.823483	0.830571	0.831946	0.827806	0.818078	0.802385	0.779958	0.749446	0.708599	0.653749	0.579458	0.481448	0.382590	0.496655	0.610014	0.699905	0.770641	0.827546	0.873907	0.911151	0.939276	0.958101	0.970607	0.972390	0.966016	0.946468	0.918327	0.877117	0.822147	0.751402	0.660109	0.544191	0.429204	0.550891	0.674317	0.774931	0.858276	0.931448	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
14	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.944990	0.888028	0.827179	0.760831	0.689025	0.617775	0.570088	0.596972	0.646734	0.695659	0.736977	0.769818	0.794866	0.812992	0.824916	0.831154	0.832040	0.827740	0.818253	0.803394	0.782762	0.755721	0.721440	0.679238	0.629905	0.579936	0.552255	0.596939	0.664174	0.731281	0.791956	0.845473	0.892281	0.932200	0.962934	0.980259	1.000000	1.000000	1.000000	0.974182	0.950260	0.908529	0.855401	0.794103	0.726783	0.660901	0.621734	0.664444	0.734254	0.806422	0.874463	0.938371	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
15	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.950334	0.899792	0.847786	0.794551	0.742254	0.696995	0.670803	0.676950	0.701527	0.731847	0.761122	0.786452	0.806819	0.821995	0.832036	0.837091	0.837320	0.832859	0.823799	0.810174	0.791978	0.769235	0.742201	0.711858	0.680989	0.656137	0.649556	0.674670	0.718461	0.769088	0.820427	0.870111	0.917543	0.962436	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.951338	0.896824	0.842825	0.792020	0.750894	0.732388	0.750896	0.791833	0.842041	0.894782	0.947574	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
16	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.956555	0.913020	0.869622	0.827333	0.788445	0.757147	0.739178	0.738498	0.750575	0.769080	0.789214	0.808047	0.823965	0.836131	0.844141	0.847853	0.847289	0.842578	0.833911	0.821525	0.805739	0.787039	0.766272	0.745003	0.726056	0.714068	0.715162	0.733726	0.765914	0.806182	0.850553	0.897001	0.945345	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.937733	0.888354	0.847577	0.818269	0.806028	0.814919	0.840142	0.875127	0.915051	0.957143	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
17	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.962866	0.926109	0.890351	0.856712	0.827047	0.803969	0.790264	0.787290	0.793196	0.804684	0.818608	0.832556	0.844862	0.854422	0.860545	0.862892	0.861406	0.856255	0.847740	0.836276	0.822416	0.806911	0.790846	0.775824	0.764165	0.758916	0.763297	0.779157	0.805286	0.839175	0.878601	0.921996	0.966835	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.965753	0.925279	0.891665	0.868578	0.858534	0.862611	0.878687	0.903273	0.933153	0.965946	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
18	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.968799	0.938200	0.908960	0.882119	0.859063	0.841417	0.830620	0.827202	0.830234	0.837854	0.847975	0.858709	0.868505	0.876151	0.880725	0.881763	0.879188	0.873294	0.864517	0.853425	0.840736	0.827343	0.814376	0.803284	0.795862	0.794134	0.799953	0.814319	0.836897	0.866632	0.902680	0.945546	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.955346	0.925227	0.905843	0.896919	0.898305	0.908724	0.926123	0.948342	0.973489	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
19	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.974129	0.948933	0.925171	0.903739	0.885669	0.872015	0.863597	0.860663	0.862684	0.868522	0.876731	0.885798	0.894300	0.900950	0.904442	0.904248	0.900289	0.893218	0.883608	0.872172	0.859761	0.847347	0.836033	0.827075	0.821865	0.821804	0.828064	0.841270	0.861352	0.887774	0.919943	0.957507	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.970876	0.948056	0.932647	0.924993	0.924965	0.931780	0.944155	0.960603	0.979668	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
20	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.978784	0.958233	0.939051	0.921996	0.907860	0.897379	0.891091	0.889168	0.891318	0.896821	0.904627	0.913453	0.921945	0.928907	0.931845	0.930497	0.924503	0.915679	0.904526	0.891892	0.878790	0.866252	0.855331	0.847119	0.842718	0.843155	0.849227	0.861345	0.879466	0.903170	0.931809	0.964540	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.980101	0.963473	0.951697	0.945443	0.944781	0.949278	0.958111	0.970248	0.984580	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
21	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.982774	0.966164	0.950804	0.937335	0.926394	0.918548	0.914220	0.913600	0.916598	0.922816	0.931503	0.941443	0.951120	0.960890	0.963532	0.961394	0.951546	0.940469	0.926925	0.912082	0.897255	0.883540	0.871922	0.863351	0.858734	0.858870	0.864343	0.875419	0.891996	0.913629	0.939585	0.968844	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.986056	0.974038	0.965227	0.960298	0.959440	0.962437	0.968765	0.977699	0.988403	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
